Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "钽电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Kyocera AVX"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "F980J106MMA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "F980J106MMA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C4153836"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "F980J106MMA"; VariantName = "[No Variations]"
Change component parameters: Designator = "C13"; Footprint = "CAP-SMD_L1.6-W0.9-FD"; UniqueID = "\PDHUBXRX"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20211207/218718C9D5A7FAAA07FA57F61A08BACF.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "F980J106MMA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "钽电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Kyocera AVX"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "F980J106MMA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "F980J106MMA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C4153836"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "F980J106MMA"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q4"; Footprint = "SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"; UniqueID = "\CLQJIPKY"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Collector-Emitter Breakdown Voltage (Vceo)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Collector-Emitter Saturation Voltage (VCE(sat)@Ic,Ib)"; Value = "600mV@500mA,50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Collector Current (Ic)"; Value = "500mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20211011/8CBA04D874BE5A0FC10F979D18183A3A.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Current Gain (hFE@Ic,Vce)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "S8550"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "S8550"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "UMW(友台半导体)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "S8550"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "S8550"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "+150℃@(Tj)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation (Pd)"; Value = "300mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C545533"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "S8550_C545533"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Transistor Type"; Value = "PNP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Transition Frequency (fT)"; Value = "150MHz"; VariantName = "[No Variations]"
Change component parameters: Designator = "U8"; Footprint = "SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL"; UniqueID = "\WCNALXTH"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Data Rate"; Value = "2Mbps"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20200819/C14267_9F0B4B8160AEBA86F3219E64956E4601.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "CH340G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "CH340G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "WCH(南京沁恒)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "CH340G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "CH340G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Drivers/Receivers"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Protocol"; Value = "USB 2.0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SOP-16_150mil"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C14267"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supply Voltage"; Value = "3.3V, 5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "CH340G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Transceiver"; VariantName = "[No Variations]"
Change component parameters: Designator = "X1"; Footprint = "OSC-SMD_4P-L3.2-W2.5-BL"; UniqueID = "\JMBEVQCR"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Crystal Type"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20190902/C394378_A3BD37707606032D901F464AD0418325.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "JYXT32S4-025.00000-93E4C0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Stability"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Tolerance"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "25MHz 12pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Load Capacitance"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "JINGYOU(晶优)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "JYXT32S4-025.00000-93E4C0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SMD3225-4P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C394378"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "JYXT32S4-025.00000-93E4C0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "-"; VariantName = "[No Variations]"
Change component parameters: Designator = "L2"; Footprint = "L0603"; UniqueID = "\GEUSRCCA"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Circuits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20210830/355EA7C0FAC5394FC0FE3F17C770C20A.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance"; Value = "200mΩ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "GZ1608D121TF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance @ Frequency"; Value = "120Ω@100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "120Ω@100MHz ±25%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Sunlord(顺络)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "GZ1608D121TF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "GZ1608D121TF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C12391"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "GZ1608D121TF-C12391"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±25%"; VariantName = "[No Variations]"
Change component parameters: Designator = "K1"; Footprint = "TSW SMD-3*6*2.5"; UniqueID = "\JQEMKBBE"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM名称"; Value = "3x6轻触开关"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "学习资源"; Value = "www.ooocke.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "版权归属"; Value = "源创客"; VariantName = "[No Variations]"
Change component parameters: Designator = "U7"; Footprint = "LQFP48 7X7_M"; UniqueID = "\MCFKXJYV"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM名称"; Value = "32位STM单片机"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "学习资源"; Value = "www.ooocke.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "版权归属"; Value = "源创客"; VariantName = "[No Variations]"
Change component parameters: Designator = "RJ1"; Footprint = "RJ45-SMD_HR961160C"; UniqueID = "\KVPLRHWG"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "RJ插座"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20151014/1457707458793.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "HR961160C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "RJ45 1*1 带灯"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LED"; Value = "有"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "HANRUN(汉仁)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "HR961160C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "HR961160C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Ports"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "插件"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C55683"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "HR961160C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "USOC Codes"; Value = "RJ45"; VariantName = "[No Variations]"
Change component parameters: Designator = "R45"; Footprint = "R0603"; UniqueID = "\WIKASNCL"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20190404/C61958_CC7C54455B4CAE3BAEFDAC24C5E38D4A.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "TC0325B330JT5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "33Ω ±0.1% 166.667mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "UNI-ROYAL(厚声)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "TC0325B330JT5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "33Ω"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-55℃~+155℃"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Overload Voltage (Max)"; Value = "75V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power(Watts)"; Value = "166.667mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C61958"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "TC0325B330JT5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±25ppm/℃"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "33Ω"; VariantName = "[No Variations]"
Change Net Name : Old Net Name=NetCN5_4 New Net Name=RS485_3B
Added Member To Class: ClassName=气象传感器 Member=Component U2 SP3485EN-L/TR
Added Room: Name=气象传感器
